*Network Galaskiewicz's CEOs and clubs
*Vertices      41      26
 1 "CEO-1"       0.5383    0.5819
 2 "CEO-2"       0.6117    0.4527
 3 "CEO-3"       0.3070    0.7679
 4 "CEO-4"       0.2508    0.3393
 5 "CEO-5"       0.1219    0.5599
 6 "CEO-6"       0.1812    0.4443
 7 "CEO-7"       0.6219    0.4023
 8 "CEO-8"       0.6203    0.3540
 9 "CEO-9"       0.5406    0.2164
10 "CEO-10"      0.5148    0.6103
11 "CEO-11"      0.4539    0.6618
12 "CEO-12"      0.6070    0.3004
13 "CEO-13"      0.4859    0.6366
14 "CEO-14"      0.5672    0.5462
15 "CEO-15"      0.2156    0.3929
16 "CEO-16"      0.3086    0.2773
17 "CEO-17"      0.3875    0.7206
18 "CEO-18"      0.4211    0.6838
19 "CEO-19"      0.5789    0.2574
20 "CEO-20"      0.5859    0.5011
21 "CEO-21"      0.4977    0.2059
22 "CEO-22"      0.4031    0.2237
23 "CEO-23"      0.3617    0.2468
24 "CEO-24"      0.4461    0.2006
25 "CEO-25"      0.1484    0.5032
26 "CEO-26"      0.3484    0.7479
27 "club-1"      0.6531    0.0662
28 "club-2"      0.3094    0.5924
29 "club-3"      0.3672    0.4958
30 "club-4"      0.4797    0.3172
31 "club-5"      0.7133    0.7101
32 "club-6"      0.2555    0.1124
33 "club-7"      0.7961    0.3151
34 "club-8"      0.4758    0.0410
35 "club-9"      0.6219    0.8351
36 "club-10"     0.7453    0.1849
37 "club-11"     0.7656    0.5032
38 "club-12"     0.4391    0.9128
39 "club-13"     0.2555    0.6555
40 "club-14"     0.0466    0.3047
41 "club-15"     0.4406    0.3887

*Matrix
0 0 1 1 0 0 0 0 1 0 0 0 0 0 0
0 0 1 0 1 0 1 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 1 0 0 0
0 1 1 0 0 0 0 0 0 0 0 0 0 0 1
0 0 1 0 0 0 0 0 0 0 0 0 1 1 0
0 1 1 0 0 0 0 0 0 0 0 0 0 1 0
0 0 1 1 0 0 0 0 0 1 1 0 0 0 0
0 0 0 1 0 0 1 0 0 1 0 0 0 0 0
1 0 0 1 0 0 0 1 0 1 0 0 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
0 1 1 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
0 0 1 1 1 0 0 0 1 0 0 0 0 0 0
0 1 1 1 0 0 0 0 0 0 1 1 1 0 1
0 1 1 0 0 1 0 0 0 0 0 0 1 0 1
0 1 1 0 0 1 0 1 0 0 0 0 0 1 0
0 1 1 0 1 0 0 0 0 0 1 1 0 0 1
0 0 0 1 0 0 0 0 1 0 0 1 1 0 1
1 0 1 1 0 0 1 0 1 0 0 0 0 0 0
0 1 1 1 0 0 0 0 0 0 1 0 0 0 1
0 0 1 1 0 0 0 1 0 0 0 0 0 0 0
0 0 1 0 0 0 0 1 0 0 0 0 0 0 1
0 1 1 0 0 1 0 0 0 0 0 0 0 0 1
1 0 1 1 0 1 0 0 0 0 0 0 0 0 1
0 1 1 0 0 0 0 0 0 0 0 0 1 0 0
0 1 1 0 0 0 0 0 0 0 0 1 0 0 0


# source, target
0,25
0,26
0,27
1,25
1,28
2,29
2,25
2,30
3,25
3,31
3,32
4,29
4,25
4,32
5,25
5,33
5,34
5,35
6,33
6,27
6,34
7,36
7,33
7,37
7,34
8,25
8,38
9,29
9,25
9,38
10,33
10,27
11,25
11,33
11,26
11,38
12,29
12,25
12,33
12,35
12,28
12,31
12,30
13,29
13,25
13,39
13,31
13,30
14,29
14,25
14,39
14,37
14,32
15,29
15,25
15,26
15,35
15,28
15,30
16,33
16,38
16,28
16,31
16,30
17,36
17,25
17,33
17,27
17,38
18,29
18,25
18,33
18,35
18,30
19,25
19,33
19,37
20,25
20,37
20,30
21,29
21,25
21,39
21,30
22,36
22,25
22,33
22,39
22,30
23,29
23,25
23,31
24,29
24,25
24,28
