visitorid,itemid
287857,5206
158090,10572
1193904,255275
599528,356475
105775,312728
196602,63312
56229,115244
168685,111530
772309,72422
1092695,383488
239740,367667
1092695,38796
1203684,80953
571258,50329
273406,214912
615793,355994
1345880,52888
1292420,47352
273406,120098
1162854,13031
749276,61240
140279,255708
1235292,240004
189384,310791
138131,430292
293206,379092
1236753,435090
1235292,150183
286616,183087
680869,29196
173858,416187
173858,293735
1235292,240004
404403,416187
840329,153778
1205129,73602
242427,415610
558524,389792
1045411,317691
169963,246130
820159,336832
1336835,289710
156009,279457
1336835,250487
1137846,300262
820159,44882
820159,202052
1235292,441513
820159,111306
327411,135644
439680,149230
350566,192990
304214,201116
535937,422346
95994,383212
341068,63935
350566,213464
404403,118199
341068,63935
660595,179290
994582,405853
1161163,183411
131869,183411
1183431,31848
393265,254037
353915,270120
244838,102573
928995,331514
1402642,270886
66714,320494
393265,437165
536622,220183
144478,127123
183186,306285
393265,201157
1166506,36035
693907,37863
469194,125318
457926,457231
1380258,161014
163905,42002
184985,442131
1109107,124264
469194,432925
461963,105823
293009,215599
1042749,172967
1000567,110379
748120,427499
1041255,10034
1359207,69207
984168,277609
807409,218626
235310,115611
1381164,453390
1249058,127926
173858,29247
918020,412898
447133,185629
422787,259078
655979,308967
254763,183107
301960,312728
1229251,246411
1406087,19269
1283743,421884
121688,80582
1282975,389814
552148,81345
404403,259078
659497,120050
927479,237017
529601,161166
1402707,258012
1162858,387373
309647,19883
1052536,192792
36694,118208
273406,256146
1381613,189444
1235292,133247
1354366,259913
1166562,103311
393265,276937
393265,109776
393265,298860
393265,435184
563755,389814
393265,214820
157419,100367
902259,441620
902259,441620
157419,135703
1235292,4887
1326841,14671
457035,24855
350566,284871
1236753,185179
1235292,221963
820159,457189
1067960,218817
286616,437293
1235292,272455
680869,292750
820159,457189
621076,98835
404403,4887
1392996,188148
1235351,393144
953999,46232
111134,170286
1230968,104342
327411,55671
1354338,63639
434418,159822
396761,241874
1158248,388853
1055684,34064
611548,442837
1233140,387504
887733,427499
404571,255708
535937,206925
1279042,17794
996134,461180
1092695,406581
1092695,153984
1299250,422948
770690,190260
288847,265966
478141,268335
1020169,175555
55135,164885
138131,38559
1111359,2135
302926,277490
943950,456489
746069,154154
465169,205829
529597,456393
215952,9635
529597,160070
1001673,366859
1344887,446524
121688,15335
1183431,297852
350566,251130
1253168,324462
651118,230842
1016655,29196
341294,32843
404403,380493
350566,241716
324487,391451
198153,108458
708918,275559
198153,409804
539658,218626
295220,335630
1204271,140282
404403,50934
1128242,308025
447133,384753
761633,432152
1043433,181045
433547,82746
77112,38483
1076270,36035
273406,410587
1370178,253175
319880,7943
209328,112119
1034396,129191
1158248,445864
540248,361956
1253762,211259
273406,246997
972842,312594
273406,124065
586488,100280
322407,260957
600857,415610
286616,226820
977567,177773
350566,183049
1339727,452295
1235292,50577
1234375,245168
1063774,193623
1018888,409804
404403,234199
102363,181811
1236753,336393
524286,167978
1235292,133247
1055400,201620
404403,36013
96806,155050
350566,54058
173858,184524
847668,256473
99830,219821
393265,246254
1061098,313835
393265,153379
393265,131386
1168458,296795
99830,224700
662168,184628
831966,130231
1092695,179001
1278741,188723
517335,42819
1148247,308967
165849,160272
850829,340749
1038812,255708
88841,37068
1281446,55925
121688,237753
1183431,227880
121688,105792
210107,69974
957425,360877
121688,302422
404403,441668
1654,123555
469194,432478
1020169,291394
1003716,8300
1205129,256706
587993,29196
529597,437638
529597,60385
254763,426520
536757,303517
748120,427499
934835,332918
1146136,370325
254763,99596
328126,159822
902045,449822
1285763,317435
858957,8557
457035,24855
283862,442521
639332,294438
894941,408963
1161163,383396
404403,167985
1212037,32147
1029376,411553
639964,360258
530205,458637
422045,361554
855126,322642
934835,14758
539910,385201
214589,267010
610183,270144
1076270,262799
1076270,269430
392700,243355
139737,280375
1076943,92361
121492,63212
121688,200793
162815,1684
1330627,443030
316850,58059
96426,37029
590466,187611
1093035,193623
1288983,385086
350566,379520
873401,281211
39027,271101
552056,379092
1235292,272455
1252850,277201
1045411,16820
945184,245400
987748,118720
455265,308510
1093035,71733
441971,234493
1093880,318333
951571,99610
1380258,182128
291283,300559
464138,428257
157419,63769
1213884,364064
763416,334273
157419,150185
592787,337772
1168458,296795
393265,292752
472539,27946
1045411,379647
300526,440370
837524,294438
531987,79211
173858,123623
295220,335630
843120,357747
173858,400644
404403,150100
1233140,390167
1313863,373128
1331125,185896
350566,370745
667217,255708
911093,251130
1191571,392009
546485,206880
455557,213695
911093,277119
215090,201116
615793,460188
189384,299044
273406,140527
694154,207802
80056,166100
764741,43326
416426,428015
385078,395749
1354338,442516
1354338,304485
608628,57245
404403,26210
1050805,78822
1354338,94981
1050805,251415
22090,205566
1162858,463280
67392,411886
398417,379580
1092695,101666
432174,77161
1025763,316472
820159,259078
121688,25353
1016655,122873
1320783,294466
845,351530
78898,114137
808867,111306
460636,355613
141980,182804
327411,39483
596647,287449
1213673,343861
1218306,226598
168685,210009
1119149,53436
503970,210087
1044259,22623
772309,86191
1092695,180274
239740,145907
1238871,51561
1092695,227796
173858,433702
570360,430292
1192199,461765
1018325,96940
1346478,181202
1134975,303960
81688,99610
393265,250578
393265,296727
826010,138356
592787,165362
393265,362585
1213884,364064
393265,308195
1166506,269430
1339727,301483
555094,42260
34648,281211
1161163,321712
872185,400574
138131,144076
583501,339517
1093035,448494
1161163,9376
286616,303828
1020169,226728
88841,150439
535937,332980
398481,174926
569742,25744
404571,255708
866540,329522
1085882,9385
173858,145238
894941,408963
1249058,127926
138131,250019
779757,88959
1161163,345211
1172253,220513
675148,62417
808609,269452
289335,11653
1311096,94442
1348296,55925
469194,432478
746069,154154
194624,26270
1291803,375181
505565,243566
1354366,175317
1012089,346139
529597,456393
1098018,361956
1161163,339917
121688,12836
1093035,63935
324487,391451
350566,261940
876581,125862
102019,49521
557378,24855
524440,394217
282705,431447
824391,463280
1166817,7943
1093035,355994
121688,400969
1123106,256023
121688,317178
850173,243470
375970,424502
15613,237422
1092695,73992
754142,63489
734678,64011
1168808,189444
254621,404936
662168,37029
712443,431322
772924,71957
396761,36873
884466,93144
1354338,77987
1354338,318339
1034396,86238
690267,399531
1034396,102891
608628,185598
1055684,149174
99830,17370
393265,79201
393265,18877
393265,185672
178066,381613
955849,419635
99830,190260
393265,108514
393265,177603
760327,211525
760327,211525
1288983,259467
1254373,38965
1045411,354377
138131,245168
453739,17753
356299,347220
424578,27812
61806,68242
1233140,167827
336982,14487
169713,118438
121688,380775
350566,369093
350566,268335
439811,391017
588923,408907
1233931,445821
683035,86929
854740,115530
1001673,366859
404403,146735
173858,4887
138131,14932
1235292,63975
1045411,379647
1045411,144717
1235292,326447
1235292,221963
521551,303960
93799,243136
350566,379520
36694,199417
422883,54435
764356,114342
1242777,430292
1299492,114137
1360085,104801
469194,125318
217270,46753
813069,201598
1359840,362858
1359840,309372
911093,261940
896757,61303
367478,198209
658145,391289
88877,257200
350566,118199
480593,107195
312104,177089
1029376,411553
1161163,403566
1045411,161780
73611,37763
1193083,368159
391666,368130
854858,58638
793731,421739
352931,161623
807575,116380
319482,306328
1045045,110200
1171969,8724
723092,62800
453788,221715
975316,324804
723092,273747
723092,127722
163561,41422
954095,449489
52024,27736
453788,260545
163561,44001
1301751,396575
286616,19142
1133219,397602
1329753,358906
1006583,7819
286616,245994
686854,384212
366538,252068
286616,151839
1161163,221980
331270,180751
333746,427499
333746,427499
286616,151839
154313,229504
1213707,9018
1119213,203117
1100870,380649
101161,199975
1320634,281480
213145,44845
138131,86844
1002150,32581
747437,383396
1144231,319358
642034,399531
451318,134793
992844,322078
529597,337183
198153,48715
893043,362606
795060,32227
753224,5470
795060,8641
220299,361463
1161163,164035
1121557,113183
263391,248614
1286248,302884
1371035,423828
1076878,273747
1359732,324209
1133219,164884
1371035,68541
451889,384514
888741,52539
208678,445728
420279,173291
163561,123079
825321,54008
548805,301113
548805,355937
300882,26154
762333,143643
1123085,151471
545485,277609
1210872,232172
138131,362634
413322,114121
221816,51650
673572,428554
1314032,100393
759288,179290
759288,62035
672767,431918
1045045,328486
974041,359203
101161,393014
771946,425468
851973,215704
1240838,69333
138131,268956
849779,144076
625795,29037
155879,136523
213145,21198
1336835,119960
575600,130371
1197550,362851
1366764,243980
226547,460553
536804,331159
824842,198209
198153,313019
109897,30024
1280613,336359
960928,448119
226253,234463
435674,260559
936723,415393
936723,440244
871454,203915
226253,41217
286616,132672
1134975,415610
286616,18986
604647,393978
1406087,261886
12148,193554
423286,126929
29570,198934
992447,324670
425069,25688
1144231,273382
1406087,261886
149854,204808
767922,385091
243313,357585
955048,209306
844721,318333
1010879,391289
1335026,326173
459253,426104
127995,359203
1254716,7574
207639,442131
1120469,387265
286616,268081
805204,271268
1094913,357054
1133219,102535
85555,368283
949454,86904
949454,253549
208678,445728
936737,360258
904152,422356
286616,435265
1000767,457410
680217,181045
286616,449489
453788,211803
825061,206880
1171984,308334
213145,378223
196502,415653
333746,427499
899857,196750
1260772,284929
1167802,341767
1254716,433543
1142400,278830
1167802,454236
1167802,330544
464846,60980
1167802,266476
548805,261011
1167802,220109
913490,276155
216304,398728
17979,357531
213145,367790
691766,417008
213240,241274
298172,7943
138131,235971
138131,235971
319482,194643
858127,23762
391666,198934
73611,179159
416496,430808
453788,421531
975316,315529
125208,339808
1394795,62056
975316,15312
198153,267010
841595,466861
131795,29196
824842,355325
267708,118024
206969,4887
859454,23626
65249,130231
1158806,427499
634120,7943
1167802,284783
1167802,165019
1254716,120098
93752,363645
1133219,365533
96519,180751
213145,445105
548805,261011
1270624,60980
1133219,19981
1133219,393809
308437,436938
167489,374554
712844,366421
1320634,168527
66956,151716
576202,264604
1002150,307322
1240838,430546
41623,251362
433547,374178
659012,105430
1133219,365533
451318,329624
527537,382499
1371035,60828
1371035,133431
1075763,319723
1133219,234234
149854,358598
1371035,315939
1371035,37184
1254716,451501
844721,318333
614519,339763
1386744,10785
662213,290126
62489,51755
371257,86057
420279,173291
1133219,348143
420279,173291
90496,279905
90496,365832
90496,98893
305234,296968
455599,361103
1161163,30024
85924,347576
328994,138027
936723,415393
644194,65820
440673,415331
366538,252068
331270,180751
10583,197862
502669,385769
555487,397642
213145,23762
1171984,417992
213145,181227
566850,410143
409458,276155
1268755,60980
1332263,209306
704347,24855
1143344,451207
704347,143643
691766,8611
1078026,338214
1209965,216786
644118,396575
213145,81770
73611,466657
759288,52776
759288,15380
520758,410647
1133219,1171
1161163,268335
46512,179601
1108963,133814
273385,55133
607337,298056
371257,9025
1134171,215904
110760,466861
391666,85366
715244,407661
391666,502
107277,130371
425069,167501
592329,154515
1002150,307322
1144231,100280
393296,255275
29570,198934
262607,383396
42005,153401
859454,402462
66956,182608
705177,319855
1139909,40870
1139909,29196
730188,316753
1129560,440954
1074777,276155
1274063,189764
880023,303712
479324,21886
928046,156896
739581,126396
851973,354676
842636,131131
805204,434846
592348,199348
488277,221317
1199098,348361
1332456,408189
415553,292444
263391,248614
616345,214687
1027708,168166
616345,187138
517720,107367
163561,114121
500379,388097
259685,435358
500379,200977
805204,105430
21302,171814
135434,187549
196128,390152
891726,330259
196128,390152
904152,441668
453788,85732
419048,123079
408040,441907
1394795,147051
723092,8641
723092,185211
589789,217840
1200007,266085
1365213,7943
740964,444190
1075763,442837
1371035,424635
331270,180751
377698,175356
956514,316753
9401,255708
1254716,34269
548805,355937
1029406,62641
478763,234255
1078026,259359
138131,326449
704347,29196
1197516,124583
319482,249161
747042,262125
319482,114155
1059475,20740
795060,331159
1362413,12609
590083,313835
391666,445785
79098,430930
1066336,280422
990254,128573
1218905,444190
198153,48715
625795,118024
936723,440244
421581,265012
1379416,466
854858,432478
936723,181014
963040,336855
316850,312728
771946,368025
138131,161911
139064,267010
1255322,338788
196046,443030
949454,77791
924600,312728
888741,156767
551960,281212
604012,207098
416496,126929
869887,170267
12148,157438
633284,73282
1349275,453646
451318,440696
451318,377684
41623,216556
122832,202825
400158,160272
748329,105864
149854,207993
149854,346655
1075763,234255
765268,386092
1148386,334709
506198,303404
1309029,289298
1199098,348361
795060,270404
1114514,441653
629905,417516
1149234,166703
1336835,46232
1129560,440954
234457,323194
1318394,318333
138131,289096
1146075,372338
286616,331490
825061,206880
723092,406121
453788,211803
744301,13576
226253,213670
510698,221501
366538,350525
1272639,12829
760652,260609
554143,23762
1201579,184086
555487,397642
1254716,85771
1167802,287871
1109577,264604
1254716,79801
1209965,427499
1133219,291921
1209965,216786
357053,235771
717640,335738
1078026,412486
213145,362851
555887,451806
892895,122219
892895,122219
815198,361431
163561,382649
595321,322666
161529,164035
1227077,113535
805204,281480
1095887,49676
155879,155050
213145,205139
1133219,83586
395156,390799
286616,364449
1133219,39070
939799,158852
286616,149767
1318405,224614
644194,205582
325809,391289
1406087,19269
1170936,272563
256179,21886
652566,250618
1133219,432861
390730,181576
41623,197968
451318,13942
592329,409655
91370,171143
1040508,234493
1308455,256721
991198,327083
859454,309438
1197550,367790
778270,87533
313092,63935
691941,327083
149854,358598
1075763,24855
1236116,91443
12148,428040
1371035,158833
915374,158575
247252,340808
795060,217218
699825,279457
10583,400859
530544,449940
587993,448601
196128,321577
1083188,134255
22596,299915
121322,465951
420279,141846
1114222,416170
1355914,179290
888741,206218
213145,361038
286616,651
780103,336855
453788,302639
296401,321984
1336835,26678
1161163,116475
1108396,151320
955556,202825
614388,401198
1171984,371585
249247,73051
1133219,443755
1161163,416012
138131,105334
704347,119736
138131,235971
375784,381653
138131,235971
37382,255708
470165,46156
704347,312728
1209965,349537
1115288,382499
734007,166437
213145,382499
264912,439274
849908,36904
709126,188148
1072212,170262
50921,448481
163561,277139
1093035,242521
612032,400998
85734,444763
303055,413973
1377221,312744
1196832,386947
1351388,273747
978476,290001
1155331,224184
438441,398907
266414,243980
558458,31557
144265,72273
744187,367301
366943,99412
1134975,22436
1189963,345080
1189963,57151
1210136,78388
57905,178554
416496,342938
741296,572
985901,58863
57905,138027
156273,432925
933310,179494
476123,232172
410087,346015
1275306,45323
256505,373360
1137704,214113
1240838,340190
424643,309005
985777,196060
985777,163915
985777,249659
768890,432994
1297821,121086
217259,72740
312445,366403
1351388,91116
2019,328869
1137704,43090
628365,128515
596234,461891
596899,259755
97580,129490
747091,453646
973367,197789
381038,30990
1156790,92678
973367,299440
90242,247376
238977,50934
379601,256721
731032,379739
57905,386480
438441,291877
1093035,196177
113565,444603
234538,422425
694676,122219
439811,46232
438441,87069
163725,189764
229925,445351
1354658,245409
1111579,206241
451106,17478
57905,267416
460063,36868
853897,254432
28669,262051
101968,231243
910060,239320
43547,267347
416496,29196
1262919,224862
238977,170267
416496,56782
416496,250015
416496,29196
513924,249666
163561,279618
1319636,412898
416496,29196
438441,108452
706426,303715
1011707,340808
290874,140593
266762,38932
264912,398756
264912,439274
438441,283115
423731,46369
280585,309778
1088976,390799
1093035,130371
1177938,294253
1029499,242521
151498,413921
1093035,126929
163561,293038
57905,16115
1260481,359344
591726,111530
149194,143621
789844,107352
851528,50367
1377221,442516
1271270,150215
432499,142671
1122208,430042
57905,428257
628790,206968
1201752,265966
264612,127969
885519,266900
264612,127969
858637,223057
907055,228903
1174617,312728
1342737,390591
640936,391289
1134102,275559
500368,234255
1210136,456858
896757,236180
805694,403566
1370016,179601
366943,417536
366943,172842
144265,309640
334812,232969
1023582,307941
334812,249659
9385,432503
1093035,456056
438441,259467
1093035,288525
268428,232172
1093035,127415
1093035,412096
663086,268883
316213,309438
1071101,235274
919995,92361
1263755,110385
42040,334477
775282,89044
1310215,149407
953132,237590
320497,279069
154117,248327
310045,367490
101870,212652
416496,45583
756210,434652
1144332,309918
904645,386480
438441,372206
438441,419468
859783,254029
438441,446852
979112,38932
1339934,393768
438441,390379
438441,97132
465217,369093
869123,411886
573208,13224
163561,143643
366943,95174
245293,318297
438441,456874
617520,436400
777788,165773
1189963,393768
1256805,124608
475615,322737
731032,439274
949454,357788
379601,256721
241113,334094
438441,215868
1363181,152249
20375,55561
416496,29196
649884,334273
416496,56782
1393377,243980
438441,322957
416496,56782
255393,146735
740324,162556
1078475,316472
760835,443931
681772,424421
314964,50648
416496,56782
163561,277139
163561,379390
969943,49392
1196832,386947
262648,112855
673644,210585
944338,342507
1152708,289707
547933,334094
446931,167543
373389,123175
264612,127969
95545,127969
403341,173956
628790,174560
385718,420960
438441,191640
1370016,242905
892355,443188
1189963,48881
1134975,15564
909349,161153
896757,316753
114240,363206
940689,19750
1275306,212726
17503,18058
749201,379953
1322865,313391
311402,208270
917293,290509
679558,299677
147954,1891
985777,249659
1240838,191634
371257,337196
342306,390984
255393,20740
1255328,234255
316213,90897
142139,339545
1113255,291394
52438,246864
123031,179601
239807,6931
1309016,384159
1262789,41217
416496,29196
416496,56782
1309025,446522
43547,267347
43547,267347
1054979,455981
1100390,80858
489113,313810
265757,80858
961411,253156
1002060,427952
416496,63312
416496,232062
859783,138290
946607,406543
799646,421884
416496,343861
321452,374825
576405,76426
863734,368841
281843,355186
1014730,264789
245293,448044
245293,325557
399208,32247
57905,36868
1093035,335331
293785,276494
978380,150809
1293841,244939
411703,162474
245293,318297
892355,372188
310500,76447
961970,395876
365058,243980
338938,214571
869123,428002
163561,206925
139728,337661
100840,187913
251892,143643
1093035,147555
991912,234255
480628,361976
907091,49754
733113,26634
1088116,185570
269929,4537
978653,422905
1296569,369933
760835,131734
494239,177179
978653,422905
343270,303828
245293,318297
693104,207749
438441,211561
78898,150004
465150,297988
311024,417927
1097509,361956
425617,224614
289803,54172
744187,391917
1396582,382000
163250,237021
828008,176669
438441,297292
633063,402462
1189963,452852
396545,326946
57905,178554
1093035,379520
163049,38965
1273634,451806
942119,372845
896400,355325
342306,297618
973908,80858
342306,370295
316213,72422
1066293,76499
40175,97750
741296,374759
1048435,312728
268428,192288
765650,409804
1048435,22436
467093,27846
542183,404369
1093035,336393
57905,429769
39336,131794
240675,267871
276899,277794
982855,466614
1052423,259964
731032,353910
704608,127622
580612,248566
316213,96375
379864,168952
650748,246721
271650,260200
949454,253549
799646,421884
968118,255344
756210,430240
386767,369919
416496,224614
677741,291217
264612,127969
826640,465226
523878,127969
258673,101288
264612,127969
1196832,310702
1093035,357585
1159681,413990
416209,12217
416496,29196
416496,284648
1280131,110252
747091,146797
43547,267347
476123,253156
984805,92668
610706,9646
1259098,461686
953132,146735
974794,420960
295588,437293
281843,395952
555036,38965
973367,124780
236129,333183
1309527,178873
468154,111572
843241,160302
303055,231065
344979,39959
163561,324462
1093035,424421
57905,459583
57905,30336
949454,82232
303265,299306
893113,273958
50921,448481
438441,4001
187302,417927
1158248,272360
539274,250713
1047439,458167
983395,384453
892355,433169
104877,442871
976328,371363
665707,86929
1189963,452852
893752,460219
1189963,279846
232520,107155
144265,351232
72066,113535
1339734,112674
959260,422948
1142903,323735
965633,168224
1022400,72944
626161,196800
207917,449489
556967,151855
1273634,342325
57905,341009
384527,455887
273431,411886
409315,195490
1137704,69442
1029499,242521
916270,114788
366197,121835
886559,431310
335826,361835
453019,318333
604927,8096
335826,452727
438441,225877
349935,112760
925698,446820
912007,309438
1171132,256721
268428,78144
490502,183969
559837,297275
258673,101288
760835,292966
740324,162556
416496,224614
163561,347576
1244048,144507
438441,403969
949454,253549
338801,449023
297677,37029
1274668,42819
57905,122219
438441,372206
756210,335276
756210,332065
425167,383255
438441,204494
144265,401115
777788,216266
892355,427472
310020,247755
366943,313337
245293,318297
1031110,253072
43156,226114
245293,186765
228703,81705
1284813,254477
948265,122873
163561,421884
57905,138196
1090857,401682
264398,430240
969943,49392
1402575,333089
416496,29196
976078,119947
416496,56782
416496,29196
489113,246113
416496,29196
416496,29196
133026,328467
623874,222707
163561,143418
1100390,80858
690176,144820
264912,103543
597930,146364
644194,309037
154638,108083
366943,191508
163561,206925
338938,139085
983395,385755
105033,185896
1142893,192704
106733,46644
303055,262186
26191,271801
743835,76196
760835,376418
566271,145403
1093035,138115
416496,312728
57905,178554
657606,371445
1022400,338214
933310,247307
85734,418746
749201,198209
163561,432925
416496,94764
53181,239968
633063,402462
438441,193205
763195,76533
1189963,457936
117368,80858
366943,78279
519707,160272
1384303,285069
366943,352644
829611,385892
805694,420896
58730,312728
2019,445559
985777,232969
943518,245449
943518,203964
1266869,339703
985777,275344
943518,203964
985777,20410
672795,65437
2019,393144
409315,195490
896757,22436
591452,203090
227259,456792
666908,12885
438441,29940
684345,159095
932216,183178
97580,13576
425617,288418
770282,152433
381038,30990
953132,20740
1263755,112677
1299768,395952
281843,162209
617630,45317
416496,29196
34289,389370
18107,108452
1262919,224862
416496,56782
543229,420079
416496,29196
1394372,445105
489113,120262
163742,297858
976328,461686
438441,342084
416496,56782
416496,29196
1172924,49990
756210,34843
416496,98899
700831,87069
1210136,176669
1271939,89977
416496,29196
67715,411886
681772,3563
1304817,23762
416496,56782
949454,109616
760835,360427
438441,398489
1256805,242488
681772,257251
469105,309778
983850,242245
147862,93806
1257751,52888
541546,153778
293785,118551
150247,339305
1165617,427472
853897,254432
1093035,2270
1200439,313064
1189963,393768
500412,161354
492422,242905
438441,307981
1202248,433441
144265,36229
1362413,12609
438441,456874
680870,22436
438441,160272
437665,442131
245293,63681
1011200,182268
583606,208949
1085185,101386
553273,334342
1346296,308144
89000,336842
503857,260194
876575,393768
602506,16813
998545,2142
970436,378591
646421,107519
40688,168962
710291,207189
503857,184716
1229822,368063
503857,262297
1145881,384560
577261,448494
1254489,84475
808037,92466
160434,318333
497546,278319
399289,395405
1167930,339517
646421,458919
115556,104699
1093035,331079
438441,50648
1252081,459480
892355,302242
470321,446978
391398,48110
337282,316472
1093035,44646
64790,257575
675167,150809
135007,307035
387234,413344
51136,293735
33196,31239
710349,151551
411307,82232
109408,165337
1119539,352328
525153,166354
1334582,408218
567042,53033
857355,455570
1362665,117075
824295,132600
503857,224464
166173,112277
1044635,133814
672785,227869
171602,247950
1396272,427472
1359706,89044
253924,92466
54185,393768
868788,18454
962933,292966
1028639,343861
310685,40618
64846,290071
38102,161663
278349,232089
1332286,311170
28769,263258
198153,112112
1038582,445106
353785,291394
527277,57548
1170743,164344
33196,245474
561611,15822
1006159,458167
1317721,425746
1127073,274599
845693,414368
379058,83663
203203,46644
379058,288901
729155,50499
700952,392895
530033,337358
366436,306809
366436,33139
1346296,48378
379058,385973
1346296,48378
1085185,271268
503857,197083
576462,289707
1165927,63092
41889,387341
438441,234384
226075,417927
1093035,138788
892355,399031
998545,286731
663192,236814
979194,60980
25294,98078
700857,428819
229514,65580
892355,318333
497546,287504
185240,58863
1134975,281212
624615,89438
973794,322666
497546,278319
236857,64951
1093035,460188
422351,320181
1323610,25147
520636,323506
503857,124065
379058,437431
892355,311170
278349,271151
503857,372188
416496,56782
1337142,226828
731862,427472
379058,371985
310685,381603
503857,446669
379058,400946
1359706,64137
980766,414995
387234,353515
675167,219297
1295122,218894
628790,374243
794133,289149
406012,437917
33571,58638
184974,6633
1284069,140262
49927,17478
517720,243626
769055,31848
1230978,41803
527277,351124
1213114,362495
1213114,461686
741296,58693
837999,49134
291283,300559
743725,64951
438441,301925
89255,424421
863116,145197
1238480,314657
737842,195852
605946,465276
102673,186214
33196,30336
1396583,176162
286790,226828
366204,128519
729152,31514
219797,383717
1317101,448943
95680,294438
81027,254861
544546,90904
892355,460553
873195,279052
1345459,129220
977457,152260
459551,244683
115556,254423
570002,376974
847857,316255
935970,350734
503857,288418
136698,395071
503857,420960
1317103,280065
527277,93556
438441,390689
651173,317938
901663,56763
959037,299908
510676,249692
159785,237422
142985,80858
1109794,405853
95794,430550
208560,187132
1152644,418606
610403,168386
365439,458167
440183,234493
503857,432992
379058,18717
689932,91873
365135,208939
850572,22926
263447,23144
839871,449501
494396,80858
41889,32765
760835,426122
309114,288418
1038582,43831
1357216,358167
31544,242245
976973,433823
818638,80858
633063,312728
371257,219072
371257,233429
959037,106359
144806,32434
1285194,411886
166173,112277
283323,320130
1055770,210846
207043,194010
1093035,245577
494335,460553
321132,246130
154454,249434
261696,145932
625795,305742
371257,88791
661473,133814
1046302,230281
1150527,40582
517674,80858
205215,93101
865155,71748
675167,262666
503857,236814
428886,193518
1038582,346437
290893,461538
637812,196177
874255,271612
379058,187138
503857,396696
1318221,829
310685,65278
892355,311170
108972,290465
986333,383521
520636,250658
1203613,288418
307607,26102
834565,203915
1363507,175246
824295,172894
824295,244819
1085185,359877
1120922,286892
774018,274798
944718,250643
621588,30024
1317867,309778
1354954,366859
491898,85659
437238,234051
1045170,434653
1118174,133485
141032,89044
1152644,92678
334628,209463
892355,249207
1011200,290045
263447,23144
735956,133814
960145,9877
111529,85334
1001567,9877
467465,200242
1038582,378045
503857,439194
331292,15325
1357216,119594
1126495,58429
1313263,132068
878690,105812
525153,300431
1247679,185117
95680,43830
1407064,138543
1159733,104116
267061,227318
1224659,204777
795461,158603
503857,236814
915207,420079
263168,436219
354324,78890
74483,374092
503857,111530
1252081,46232
459551,2135
371257,291964
115556,290003
731857,292192
371257,400946
837999,398821
588071,305569
858436,457231
588071,135463
355307,390379
1040979,268883
1367601,318333
837999,44001
197415,256019
741296,165397
301201,256432
741296,338543
139438,276245
971579,352010
1384800,285758
290893,430845
39928,187132
30473,260821
737842,355287
754308,268335
561611,15822
927493,429366
1003451,230842
1370691,84321
1116716,358417
527277,397642
700903,252340
1351849,255094
484107,254290
1093035,254290
503857,244838
106155,171586
106155,151506
1156017,133476
189240,297404
462027,315911
990383,95834
459551,438779
315334,25662
1093035,246130
315334,149095
23401,33182
1317314,384110
473646,277139
895605,142449
892355,427472
89085,207907
379058,140527
278349,425228
892355,311170
