visitorid,itemid
599528,356475
121688,15335
552148,81345
102019,150318
189384,310791
350566,54058
350566,284871
404403,150100
505565,243566
945184,245400
1406787,336832
820159,202052
319880,7943
608628,185598
956011,338308
1318394,318333
61806,68242
1331125,185896
911093,277119
911093,251130
157419,63769
157419,135703
1166562,103311
464138,428257
273406,256146
1233140,167827
1233140,387504
813069,201598
504901,367664
1041255,10034
328126,159822
404403,50934
497826,380493
666960,89977
1161163,383396
1281446,55925
217773,308648
121688,380775
1043433,181045
1242777,430292
189384,299044
826010,138356
286616,183087
1192199,461765
1235292,221963
1235292,4887
1236753,336393
1161163,321712
977567,177773
1252850,277201
34648,281211
22090,205566
396761,36873
1020169,226728
911093,261940
800638,27812
571258,50329
1299250,422948
254621,404936
273406,410587
291283,300559
1001673,366859
1344887,446524
639964,360258
1233931,445821
876581,125862
480593,107195
1094490,454964
1236753,185179
422787,259078
404403,36013
1076270,262799
121688,237753
84327,264774
404403,26210
1381613,189444
1026720,8426
138131,245168
1093035,193623
322407,260957
1161163,9376
820159,336832
1235292,240004
555094,42260
873401,281211
570360,430292
138131,150882
138131,14932
1042749,448601
1281446,55925
1161163,339917
346597,427749
404403,118199
1360085,104801
1291803,375181
1233140,390167
422045,361554
536757,303517
530205,458637
708918,275559
455557,213695
1134975,303960
350566,251130
1236753,435090
295220,335630
1249058,127926
416426,428015
1212037,32147
1161163,119736
404403,234199
1406087,19269
748120,427499
820159,259078
500008,310206
121688,317178
158090,10572
529601,161166
350566,268335
1093035,448494
350566,183049
273406,140527
1235292,150183
1020169,175555
1012089,346139
347598,55731
350566,261940
1162858,387373
404403,416187
404403,167985
308270,384895
820159,111306
1307202,181576
1139092,259114
608628,57245
1162858,463280
1166817,7943
350566,369093
1093035,355994
121688,12836
121688,400969
121688,105792
121688,25353
996134,461180
754142,63489
1236753,185179
1236753,435090
81688,99610
1235292,272455
1235292,326447
1235292,133247
1235292,63975
1018325,96940
157419,150185
178066,381613
820159,44882
138131,144076
350566,370745
350566,192990
611548,442837
1236753,336393
866540,329522
404403,146735
273406,124065
55135,164885
1366259,384399
539910,385201
273406,120098
1364162,315543
162815,1684
1001673,366859
350566,277119
309647,19883
1088275,288418
293206,379092
102019,49521
121688,200793
121688,80582
121688,302422
850173,243470
1168808,189444
770690,190260
1076270,36035
1050805,78822
1050805,251415
854740,115530
244838,102573
157419,100367
286616,226820
322407,260957
286616,303828
1249058,127926
191439,821
1235292,50577
282705,431447
273406,246997
1093035,71733
350566,241716
1285763,317435
1346478,181202
404403,4887
1161163,403566
1161163,345211
961085,231565
795060,217218
125208,339808
1003058,312728
286616,245994
565078,448494
592348,199348
625795,118024
805204,281480
361387,43485
1274063,189764
1366764,243980
263391,248614
1254716,120098
723092,127722
888741,52539
138131,105334
319482,306328
805204,271268
12148,157438
1171969,8724
99830,219821
536804,6364
536804,331159
730188,316753
634120,7943
1280613,336359
1123085,151471
361387,43485
262607,383396
1161163,164035
915374,158575
163561,114121
161529,164035
138131,268956
138131,288525
138131,289096
888741,206218
723092,62800
296401,321984
1108396,151320
478763,234255
138131,36995
1209965,427499
691766,417008
371941,134309
470165,46156
1143344,451207
795060,8641
263391,248614
163561,382649
858127,23762
168685,210009
65249,130231
705177,319855
859454,309438
859454,402462
536804,150889
226547,460553
286616,23246
196046,443030
90496,365832
90496,98893
479324,21886
139064,267010
928046,456056
595321,322666
652566,250618
425069,167501
589789,217840
488277,221317
1254716,34269
1254716,85771
723092,8641
723092,185211
213145,361038
936737,360258
85555,368283
1059475,20740
517720,107367
333746,427499
851973,40582
1026208,240822
21302,171814
101161,199975
138131,326449
149854,358598
149854,207993
149854,346655
1209965,349537
795060,32227
555887,451806
208678,445728
960928,448119
319482,249161
319482,194643
854858,432478
1406087,261886
22596,299915
305234,296968
536804,273555
536804,406071
1197550,367790
138131,161911
928046,156896
1083188,134255
673572,428554
1318394,318333
249247,73051
1000767,457410
419048,123079
1161163,116475
163561,44001
331270,180751
3926,335331
213145,23762
300882,26154
37382,255708
691766,8611
1314032,100393
672767,431918
168685,111530
795060,331159
273385,55133
536804,160272
536804,276282
1197550,362851
482439,463280
1218905,444190
213145,44845
308437,436938
712844,366421
99830,329443
1355914,179290
723092,273747
723092,406121
888741,156767
88841,37068
1161163,30024
825321,54008
1406087,261886
992844,322078
1406087,19269
992447,324670
425069,25688
1200007,266085
1027708,168166
1335026,326173
1254716,451501
1254716,7574
991198,327083
138131,362634
286616,449489
686854,384212
196502,415653
566850,410143
213145,378223
286616,132672
1270624,60980
149854,204808
213145,382499
1129560,440954
213145,21198
213145,205139
771946,425468
138131,86844
771946,368025
167489,374554
286616,364449
286616,19142
69804,428257
1161163,268335
1170936,272563
893043,362606
859454,23626
1167802,266476
1167802,165589
1254716,433543
1254716,79801
1028073,89775
1149234,166703
213145,181227
286616,268081
1114514,441653
121322,465951
286616,651
286616,331490
286616,435265
163561,41422
286616,151839
1201579,184086
760652,260609
213145,445105
1161163,416012
213240,241274
12148,193554
12148,428040
1209965,216786
1202248,433441
266762,38932
438441,204494
268428,192288
163561,143643
163561,379390
163561,293038
1339801,465943
1093035,424421
468154,111572
893113,273958
1196832,310702
892355,372188
310500,76447
438441,211561
438441,193205
1093035,379520
933310,179494
759288,179290
943518,245449
1259098,461686
1072212,170262
974794,420960
42040,334477
1100390,80858
438441,390379
946607,406543
438441,446852
1093035,260256
566009,187719
677741,291217
403341,173956
729155,269085
57905,36868
1093035,357585
1093035,335331
57905,138196
57905,338395
438441,108452
438441,272318
438441,342084
438441,215868
438441,4001
983395,384453
907091,49754
1029499,242521
85734,444763
163561,277139
149194,143621
1090857,401682
1093035,260256
264398,430240
523878,127969
1308455,256721
943518,203964
1137704,43090
973908,80858
1093035,336393
438441,259467
438441,225877
255393,146735
316213,90897
940689,19750
57905,341009
917293,290509
499833,152236
749201,379953
338801,449023
949454,109616
2019,393144
949454,357788
321452,374825
2019,445559
228703,81705
438441,58233
1362413,12609
438441,160272
438441,456874
740324,162556
438441,331552
163561,143418
1363181,152249
163561,279618
1002060,427952
438441,322957
156973,197394
163561,324462
849034,370745
1260481,359344
654148,216305
50921,448481
1354658,245409
53181,239968
438441,260256
933310,247307
57905,62275
163049,38965
256505,373360
207917,449489
163561,432925
556967,151855
1029499,242521
759288,15380
91370,171143
1137704,214113
40175,97750
1093035,412096
1066293,76499
1093035,127415
438441,283115
849908,36904
123031,179601
411703,162474
147954,1891
438441,232413
961411,253156
57905,386480
949454,82232
775282,89044
1093035,2270
777788,216266
709126,188148
163561,206925
1267997,358391
1362413,12609
438441,307981
693104,207749
438441,119736
438441,297292
747091,453646
985901,58863
85734,418746
57905,178554
311402,208270
57905,62275
759288,52776
424643,309005
316213,96375
576405,76426
913490,276155
580612,248566
379864,168952
949454,253549
1093035,196177
438441,372206
57905,267416
1093035,147555
57905,459583
1093035,126929
106733,46644
100840,187913
50921,448481
789844,107352
892355,433169
105033,185896
747091,390988
666908,12885
1342737,390591
552165,409804
273431,411886
57905,178554
251892,143643
747310,113952
1093035,456056
542183,404369
596234,461891
295588,437293
547933,334094
983850,242245
438441,403969
438441,97132
859783,138290
438441,87069
1244048,144507
438441,398907
500412,161354
163561,421884
57905,428257
1122208,430042
451106,17478
983395,385755
597930,146364
1037560,97890
268428,232172
438441,119736
1252195,326234
1088976,390799
480628,361976
151498,413921
743835,76196
494239,177179
749201,198209
187302,417927
438441,191640
763195,76533
633063,402462
342306,390984
342306,370295
1137704,69442
1297821,121086
57905,429769
1093035,288525
316213,72422
255393,20740
770282,152433
1322865,313391
438441,211718
961411,232172
1402575,333089
438441,419468
438441,398489
469105,309778
432499,142671
1257751,52888
1159681,413990
777788,165773
892355,443188
530033,357474
610403,168386
196128,321577
438441,258901
1317721,6731
503857,184716
1230978,41803
1384800,285758
434418,349140
646421,458919
646421,282064
1224659,204777
633063,312728
729152,31514
878690,105812
307607,26102
128223,302563
1367601,318333
1207981,350734
407882,1171
95233,181483
405676,50259
1362665,117075
1093035,331079
166173,112277
962933,426122
503857,372188
1093035,460188
1093035,119736
253924,92466
1337142,226828
527277,351124
503857,216271
503857,460553
503857,247376
365135,208939
939751,38965
668775,3563
438441,93608
530033,389158
438441,236949
646421,107519
438441,413093
1028639,343861
438441,389814
962933,292966
446931,399374
823143,7943
813307,446522
1152346,367627
503857,262297
503857,224614
1317721,425746
438441,29725
1116716,271151
1369100,461455
1093035,44646
503857,224464
1093035,246130
1093035,150882
892355,302242
1213114,461686
189240,297404
428886,193518
527277,397642
700903,252340
1093035,254290
127910,425009
621588,30024
530033,337358
74483,374092
184974,6633
811563,370019
530033,80711
1170743,164344
998545,286731
438441,234384
221190,80435
1093035,138788
226075,417927
354324,78890
1041299,153935
1367601,318333
494335,460553
1213114,32581
625795,305742
446931,454818
477390,265966
527277,93556
651173,317938
959037,106359
530033,332610
85734,144507
310685,40618
438441,259405
434418,400397
1384800,285758
741296,417464
774018,274798
109408,165337
561611,15822
33196,30336
208560,187132
128578,92678
438441,15822
888739,312728
1165927,263980
503857,260194
998545,2142
207043,194010
366204,128519
497546,278319
503857,111530
897873,395497
1093035,245577
154454,249434
40879,133052
434418,159822
301201,256432
52108,397692
953412,84337
987912,175246
506467,30048
438441,390689
802259,345576
1304736,228392
649460,121377
127910,139085
33196,245474
208560,41169
561611,15822
561611,15822
503857,336760
1072230,334477
892355,249207
1001567,9877
1165927,63092
494396,80858
503857,420960
1396583,176162
503857,236814
438441,179601
577261,448494
438441,301925
527277,351124
1040979,268883
1317721,394256
366436,33139
731857,292192
189240,297404
892355,261568
503857,439194
438441,377133
323687,95729
1317103,57946
959037,299908
503857,244838
33196,31239
95794,430550
1152644,418606
892355,236578
783905,309778
1313950,88425
1247679,185117
774018,288077
89000,336842
196128,390152
1317721,208880
291283,300559
438441,119736
503857,432992
966010,46458
939751,38965
497546,287504
337282,316472
503857,288418
33571,58638
527277,57548
503857,236814
1317103,280065
198153,112112
892355,460553
1254716,291964
763580,257115
462027,315911
310685,381603
286790,226828
1168133,205541
503857,36864
1093035,5043
906238,427931
138131,318333
1051557,187359
397350,60980
1187988,80858
1161163,15466
129689,226828
746939,392474
1093035,155050
1341202,388624
1077145,272259
1161163,325310
1051607,257040
981144,398756
138131,420960
138131,23257
1106190,91970
1021202,312717
138131,138427
433067,296448
889802,158912
1161163,117677
666046,394217
1270574,286940
352193,358041
1161163,119736
1161163,331517
1055770,210846
390314,257040
967483,334936
1341202,448413
503511,127879
823073,210002
1161163,23912
1341202,175356
1290069,249933
387860,160975
1391644,51483
1216079,340022
886402,461765
1093035,288418
1316274,177536
855614,104699
855614,300906
138131,289633
1398811,266553
138131,332224
143679,384397
746939,130113
1093035,312023
74080,62613
904294,366888
22944,328901
1161163,307035
1341202,206930
967483,217089
1106190,441617
1161163,4001
508334,51408
350566,283766
1084617,176824
266693,390992
32160,119737
1137997,234255
1341202,375532
940608,215904
960916,291394
138131,119736
1341202,381352
967483,456549
1161163,444931
853851,50133
960145,9877
1093035,325256
1093035,188455
1129560,440954
1093035,337327
429213,415884
746939,38706
1093035,96001
1093035,414995
1161163,72944
903935,122604
108972,290465
118487,420960
267357,37254
1216079,271268
350566,16417
138131,243566
1322168,296375
32160,80858
1341202,331311
1109044,175485
1161163,241555
21048,462461
1161163,362606
1093035,324833
1296635,247698
1161163,134191
1051557,423511
429213,415884
901467,222166
1078513,283916
1093035,120763
1263954,235274
38015,21163
86669,343033
1216079,305356
1380494,234177
621474,355994
433067,101876
138131,220749
404907,13043
1044703,251868
1161163,355994
1341202,347576
138131,266085
57006,119737
389441,139740
38015,427641
537781,393028
445764,318333
621474,439424
335297,294438
981144,259395
1341202,446934
1093035,268883
255309,165095
906238,427931
138131,342288
1161163,317978
1161163,119736
621474,92361
1344286,9646
1161163,136553
1341202,372318
1161163,404936
967483,315387
1277783,300086
211269,309778
1093035,357583
1161163,408218
1119553,420079
791547,233695
1088465,417927
621474,251534
621474,65838
286616,418560
972095,222604
972095,312781
972095,353910
1380494,230918
1245257,243566
596737,206141
263462,161153
771810,138309
960004,191106
957392,373725
73856,407403
917036,325310
960004,234255
939309,420079
960004,308144
960004,59467
138131,441415
25481,299222
45512,305250
138131,43590
766389,324290
286616,432478
1174955,105371
62058,344388
186588,309778
1204969,124583
553273,334342
903507,222285
903507,344723
972095,230842
370723,12217
1295240,278679
73856,231810
431811,144675
989085,283916
498381,407078
138131,179601
629436,99093
138131,309778
263462,211451
731857,292192
138131,301284
138131,301721
1202351,429595
288474,124272
118734,144507
73856,365375
592787,390199
657378,2785
413096,127969
1091107,393768
321381,93831
583827,421063
960004,301462
252840,116252
975757,25744
483303,223203
1286827,436694
138131,153301
553273,413896
138131,189818
