visitorid,itemid,transactionid
172,10034,9725
172,465522,9725
186,49029,8726
264,161949,8445
264,459835,8445
419,19278,16455
539,94371,14778
627,414182,1332
795,207825,14460
914,382946,4718
964,430113,15310
1032,243949,9747
1636,449639,4532
1765,330469,14545
2019,393144,4700
2019,445559,4700
2133,137697,11913
2216,308764,14451
2242,402047,4407
2468,181948,3247
2519,413125,261
2598,183087,15268
2646,360487,11549
2807,240440,11047
3048,331032,14934
3104,342086,13954
3104,346661,13954
3171,339976,5617
3174,45420,5049
3251,97661,3158
3258,19278,6428
3258,353548,6428
3404,7642,10670
3465,114485,11600
3465,434048,11600
3465,8523,11600
3581,220793,802
3847,388002,15017
3896,407518,15662
3926,187379,11240
3926,323347,11240
3926,335331,8689
3936,172894,3963
4061,69754,10288
4101,104752,5362
4101,170353,5362
4101,228066,5362
4101,400859,5362
4113,231807,8425
4115,98467,15885
4241,340794,1264
4368,258208,5914
4537,166106,12812
4537,166106,9937
4606,112065,2222
4606,75961,2222
4694,138314,12517
4694,371724,12517
4899,46156,15417
5042,127634,15102
5042,127634,16279
5042,138443,4824
5061,102209,11716
5117,241061,8647
5207,37174,7560
5423,32937,9138
5703,186214,3297
5703,295495,3297
5939,379294,14499
6029,294267,11625
6190,7943,11520
6265,66480,13425
6390,158666,6080
6431,360922,13399
6468,108343,44
6468,289096,44
6468,378760,44
6468,65273,44
6618,49967,14374
6699,210087,5561
6699,280375,1892
6699,51354,9604
6699,73602,15629
6750,461190,11045
6855,465522,7515
6911,382437,8752
6952,108924,4966
6952,19789,4966
6952,461686,4966
6955,83837,7810
6958,184011,15078
6958,187200,15078
6958,339822,15078
6958,431417,15078
7016,32591,14920
7016,411039,14920
7244,175662,12580
7330,248440,10625
7633,7943,6623
7773,414831,1389
7969,88032,9988
8043,211418,9154
8043,350384,15660
8083,235639,14407
8314,176419,17648
8411,392689,1075
8411,99296,839
8516,248569,6909
8670,358594,4461
8731,16633,15391
8731,305675,16221
8876,40990,14199
8914,214332,6610
9079,224862,12912
9079,392618,12912
9099,330786,5683
9145,408059,16865
9145,425458,16865
9145,59399,4130
